epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.98903,1.30764,3.90878,1.23616,0.0042,1,0.36638,0.25032,1.08851,3.41169,0.97684,0.00017776,0.00017776,0.00017776
2,13.061,1.20621,2.82447,1.11433,0.52423,0.33141,0.40374,0.26236,1.26867,2.77066,0.98828,0.000363,0.000363,0.000363
3,16.146,1.11334,2.00145,1.0736,0.7127,0.24271,0.79687,0.52542,1.21261,2.28421,1.08091,0.000544501,0.000544501,0.000544501
4,18.9812,1.13722,1.70571,1.10719,0.92408,0.72,0.94679,0.6923,1.06872,2.13386,1.09281,0.000722262,0.000722262,0.000722262
5,22.0742,1.10483,1.39245,1.11033,0.8749,0.7909,0.86088,0.62241,1.19285,1.96732,1.20349,0.000896284,0.000896284,0.000896284
6,25.0418,1.15366,1.38725,1.15183,0.76676,0.94595,0.995,0.66608,1.27267,1.33205,1.30272,0.00105601,0.00105601,0.00105601
7,27.8726,1.15579,1.28003,1.14556,0.8172,0.81092,0.926,0.59587,1.39167,1.57267,1.35402,0.00104501,0.00104501,0.00104501
8,30.8586,1.13008,1.25936,1.14835,0.64961,0.75728,0.71782,0.51285,1.23163,1.79372,1.21975,0.00103401,0.00103401,0.00103401
9,33.7814,1.11492,1.17274,1.13482,0.88128,0.89252,0.92985,0.68115,1.14308,1.10664,1.22726,0.00102301,0.00102301,0.00102301
10,36.7969,1.09632,1.18348,1.14453,0.82909,0.88087,0.89214,0.62194,1.26047,1.12355,1.26954,0.00101201,0.00101201,0.00101201
11,39.654,1.11342,1.08572,1.12453,0.95115,0.80033,0.95167,0.63548,1.31603,0.92929,1.29354,0.00100101,0.00100101,0.00100101
12,42.7112,0.98841,1.00164,1.07656,0.88212,0.90957,0.97833,0.64786,1.25197,1.07117,1.27618,0.000990012,0.000990012,0.000990012
13,45.6872,1.05726,0.99347,1.08944,0.87955,0.90437,0.97357,0.69985,1.1396,0.86573,1.15524,0.000979013,0.000979013,0.000979013
14,48.8479,1.05541,0.94508,1.10987,0.90197,0.93399,0.97833,0.69714,1.11941,0.76906,1.19083,0.000968014,0.000968014,0.000968014
15,52.0142,1.05922,0.92119,1.09144,0.89633,0.94854,0.995,0.71998,1.10865,0.71537,1.15528,0.000957015,0.000957015,0.000957015
16,55.4,0.95468,0.86959,1.05994,0.9417,0.91986,0.995,0.77763,0.98855,0.67111,1.11158,0.000946016,0.000946016,0.000946016
17,58.6717,1.00546,0.87568,1.08052,0.95404,0.94149,0.995,0.70983,1.10344,0.67511,1.14831,0.000935018,0.000935018,0.000935018
18,61.7318,0.9959,0.90226,1.07201,0.94324,0.9766,0.995,0.74541,1.10727,0.67335,1.13276,0.000924019,0.000924019,0.000924019
19,64.9204,1.01519,0.97124,1.11875,0.93186,0.96305,0.995,0.75117,1.14354,0.72001,1.18811,0.00091302,0.00091302,0.00091302
20,67.97,0.96942,0.81622,1.06455,0.93939,0.96247,0.995,0.74347,1.06294,0.60092,1.16441,0.000902021,0.000902021,0.000902021
21,71.0438,0.91773,0.78457,1.04139,0.91763,0.93913,0.995,0.71916,1.12258,0.70232,1.18237,0.000891022,0.000891022,0.000891022
22,74.1415,0.91197,0.82953,1.04361,0.9057,0.94056,0.985,0.73406,1.09827,0.66672,1.12406,0.000880023,0.000880023,0.000880023
